customerid	AddressType	AddressLine1	AddressLine2	City	StateProvinceName	PostalCode	CountryRegionName
27807	Home	1, rue de Varenne	NULL	Boulogne-Billancourt	Hauts de Seine	92100	France
22511	Home	1, rue de Varenne	NULL	Dunkerque	Nord	59140	France
22484	Home	1, rue Georges-Clémenceau	NULL	Paris	Seine (Paris)	75003	France
24153	Home	1, rue Lamarck	NULL	Versailles	Yveline	78000	France
25539	Home	1, rue Pierre-Demoulin	NULL	Croix	Nord	59170	France
23756	Home	1, rue Pierre-Demoulin	NULL	Les Ulis	Essonne	91940	France
22377	Home	1, rue Pierre-Demoulin	NULL	Orleans	Loiret	45000	France
21081	Home	1, rue Pierre-Demoulin	NULL	Paris	Seine (Paris)	75007	France
12631	Home	1, rue Pierre-Demoulin	NULL	Paris	Seine (Paris)	75012	France
12552	Home	1, rue Ste-Honoré	NULL	Saint Ouen	Loir et Cher	41100	France
24952	Home	10 Napa Ct.	NULL	Lebanon	Oregon	97355	United States
17752	Home	10, avenue de Norvege	NULL	Paris	Seine (Paris)	75005	France
21862	Home	10, avenue du Port	NULL	Roissy en Brie	Seine et Marne	77680	France
19310	Home	10, avenue du Président-Kennedy	NULL	Paris	Seine (Paris)	75019	France
25574	Home	10, impasse Ste-Madeleine	NULL	Tremblay-en-France	Seine Saint Denis	93290	France
23958	Home	10, place Beaubernard	NULL	Verrieres Le Buisson	Essonne	91370	France
19174	Home	10, place de Fontenoy	NULL	Roubaix	Nord	59100	France
24124	Home	10, route de Marseille	NULL	Pantin	Seine Saint Denis	93500	France
22814	Home	10, rue de l´Avenir	NULL	Suresnes	Hauts de Seine	92150	France
12830	Home	10, rue de la Centenaire	NULL	Saint-Denis	Seine Saint Denis	93400	France
28384	Home	10, rue de la Comédie	NULL	Lille	Nord	59000	France
13812	Home	10, rue de Maubeuge	NULL	Orleans	Loiret	45000	France
27926	Home	10, rue des Vendangeurs	NULL	Saint Germain en Laye	Yveline	78100	France
24116	Home	10, rue Lafayette	NULL	Paris	Seine (Paris)	75007	France
19426	Home	10, rue Lauriston	NULL	Bobigny	Seine Saint Denis	93000	France
21522	Home	10, rue Philibert-Delorme	NULL	Paris	Seine (Paris)	75007	France
14971	Home	10, rue Pierre-Demoulin	NULL	Orleans	Loiret	45000	France
13768	Home	10, rue Royale	NULL	Courbevoie	Hauts de Seine	92400	France
18132	Home	10, rue Royale	NULL	Sèvres	Hauts de Seine	92310	France
12866	Home	100, boulevard d´Albi	NULL	Paris	Seine (Paris)	75006	France
25476	Home	100, rue de la Centenaire	NULL	Paris La Defense	Hauts de Seine	92081	France
21357	Home	100, rue des Rosiers	NULL	Everett	Washington	98201	United States
12254	Home	100, rue des Rosiers	NULL	Pantin	Seine Saint Denis	93500	France
12557	Home	100, rue Descartes	NULL	Boulogne-Billancourt	Hauts de Seine	92100	France
20883	Home	100, rue Jean Mermoz	NULL	Paris	Seine (Paris)	75002	France
11420	Home	100, rue Maillard	NULL	Roubaix	Nord	59100	France
23084	Home	1000 Bidweld Street	NULL	Haney	British Columbia	V2W 1W2	Canada
16424	Home	1001, rue des Bouchers	NULL	Paris	Seine (Paris)	75012	France
23919	Home	1001bis, boulevard Saint Germain	NULL	Roubaix	Nord	59100	France
27477	Home	1002 N. Spoonwood Court	NULL	Berkeley	California	94704	United States
22583	Home	1002 N. Spoonwood Court	NULL	Hervey Bay	Queensland	4655	Australia
13232	Home	1003 Matterhorn Ct	NULL	Lebanon	Oregon	97355	United States
13577	Home	1004, rue des Bouchers	NULL	Paris	Seine (Paris)	75019	France
19016	Home	1005 Fremont Street	NULL	Colma	California	94014	United States
26947	Home	1005 Matterhorn Ct.	NULL	Cambridge	England	CB4 4BZ	United Kingdom
29045	Home	1005 Matterhorn Ct.	NULL	Mill Valley	California	94941	United States
15419	Home	1005 Tanager Court	NULL	Corvallis	Oregon	97330	United States
23436	Home	1005 Tanager Court	NULL	Milsons Point	New South Wales	2061	Australia
11500	Home	1005 Valley Oak Plaza	NULL	Langley	British Columbia	V3A 4R2	Canada
12873	Home	1005 Valley Oak Plaza	NULL	London	England	SW6 SBY	United Kingdom
20940	Home	1005, rue des Bouchers	NULL	Colombes	Hauts de Seine	92700	France
24578	Home	1005, rue des Bouchers	NULL	Saint-Denis	Seine Saint Denis	93400	France
14254	Home	1006 Deercreek Ln	NULL	Bellflower	California	90706	United States
27398	Home	1006 Deercreek Ln	NULL	Torrance	California	90505	United States
29235	Home	1007 Cardinet Dr.	NULL	El Cajon	California	92020	United States
16485	Home	1008 Lydia Lane	NULL	Burbank	California	91502	United States
22445	Home	1009, rue des Bouchers	NULL	Colomiers	Garonne (Haute)	31770	France
16635	Home	101 Adobe Dr	NULL	Coffs Harbour	New South Wales	2450	Australia
27290	Home	101 Adobe Dr	NULL	Puyallup	Washington	98371	United States
27958	Home	101, avenue de la Gare	NULL	Peterborough	England	PB12	United Kingdom
20045	Home	101, avenue de la Gare	NULL	Roissy en Brie	Seine et Marne	77680	France
28443	Home	101, avenue des Champs-Elysées	NULL	Colombes	Hauts de Seine	92700	France
22827	Home	101, avenue Reille	NULL	Versailles	Yveline	78000	France
27323	Home	101, rue de Cambrai	NULL	Roubaix	Nord	59100	France
11406	Home	101, rue de Terre Neuve	NULL	Paris	Seine (Paris)	75010	France
20962	Home	101, rue Léo Delibes	NULL	Paris	Seine (Paris)	75009	France
15650	Home	1010, avenue de l´ Union Centrale	NULL	Saint Germain en Laye	Yveline	78100	France
17187	Home	1010, impasse Notre-Dame	NULL	Orleans	Loiret	45000	France
22188	Home	1011 Green St.	NULL	Bellingham	Washington	98225	United States
13727	Home	1011 Yolanda Circle	NULL	Berkeley	California	94704	United States
13732	Home	1011 Yolanda Circle	NULL	N. Vancouver	British Columbia	V7L 4J4	Canada
14779	Home	1011, avenue Foch	NULL	Pantin	Seine Saint Denis	93500	France
22962	Home	1013 Buchanan Rd	NULL	Port Macquarie	New South Wales	2444	Australia
15163	Home	1013 Buchanan Rd	NULL	Yakima	Washington	98901	United States
14453	Home	1013 Holiday Hills Dr.	NULL	Bremerton	Washington	98312	United States
12840	Home	1013 Holiday Hills Dr.	NULL	Gateshead	England	GA10	United Kingdom
23485	Home	1015 Lynwood Drive	NULL	Metchosin	British Columbia	V9	Canada
27601	Home	1016 Park Avenue	NULL	Burbank	California	91502	United States
23077	Home	1019 Book Road	NULL	Rhodes	New South Wales	2138	Australia
25867	Home	1019 Buchanan Road	NULL	Woodland Hills	California	91364	United States
14007	Home	1019 Candy Rd.	NULL	Coffs Harbour	New South Wales	2450	Australia
18801	Home	1019 Carletto Drive	NULL	Berkeley	California	94704	United States
11778	Home	1019 Chance Drive	NULL	Sedro Woolley	Washington	98284	United States
15331	Home	1019 Kenwal Rd.	NULL	Lake Oswego	Oregon	97034	United States
15994	Home	1019 Mt. Davidson Court	NULL	Burien	Washington	98168	United States
12559	Home	1019 Mt. Davidson Court	NULL	London	England	SW8 4BG	United Kingdom
12041	Home	1019 Pennsylvania Blvd	NULL	Marysville	Washington	98270	United States
28694	Home	102 Vista Place	NULL	Milton Keynes	England	MK8 8DF	United Kingdom
28674	Home	102 Vista Place	NULL	Santa Monica	California	90401	United States
11241	Home	102, rue de Berri	NULL	Les Ulis	Essonne	91940	France
28787	Home	1020 Book Road	NULL	Bremerton	Washington	98312	United States
18726	Home	1020 Carletto Drive	NULL	Matraville	New South Wales	2036	Australia
13461	Home	1020 Carletto Drive	NULL	Santa Cruz	California	95062	United States
12374	Home	1020, quai de Grenelle	NULL	Croix	Nord	59170	France
24037	Home	1020, quai de Grenelle	NULL	Versailles	Yveline	78000	France
23062	Home	1023 Hawkins Street	NULL	Lebanon	Oregon	97355	United States
29333	Home	1023 Hawkins Street	NULL	Townsville	Queensland	4810	Australia
25860	Home	1023 Riveria Way	NULL	Burbank	California	91502	United States
17204	Home	1023 Riviera Way	NULL	Oxford	England	OX1	United Kingdom
11537	Home	1024 Walnut Blvd.	NULL	Colma	California	94014	United States
19058	Home	1025 Holly Oak Drive	NULL	Leeds	England	LE18	United Kingdom
28264	Home	1025 R St.	NULL	Kirkland	Washington	98033	United States
24732	Home	1025 Yosemite Dr.	NULL	Oregon City	Oregon	97045	United States
27145	Home	1025 Yosemite Dr.	NULL	Townsville	Queensland	4810	Australia
16536	Home	10257, avenue de l´Europe	NULL	Saint-Denis	Seine Saint Denis	93400	France
22091	Home	1026 Mt. Wilson Pl.	NULL	Lynnwood	Washington	98036	United States
22003	Home	1026 Mt. Wilson Pl.	NULL	South Melbourne	Victoria	3205	Australia
18647	Home	1028 Green View Court	NULL	Chula Vista	California	91910	United States
19204	Home	1028 Green View Court	NULL	Oregon City	Oregon	97045	United States
25383	Home	1028 Indigo Ct.	NULL	Issaquah	Washington	98027	United States
19959	Home	1028 Indigo Ct.	NULL	Warrnambool	Victoria	3280	Australia
28800	Home	1028 Royal Oak Rd.	NULL	Burlingame	California	94010	United States
27570	Home	1029 Birchwood Dr	NULL	Burien	Washington	98168	United States
17269	Home	1029 Birchwood Dr	NULL	Olympia	Washington	98501	United States
16936	Home	103, avenue des Champs-Elysées	NULL	Paris La Defense	Hauts de Seine	92081	France
20919	Home	103, rue de Fontfroide	NULL	Lille	Nord	59000	France
23948	Home	1030 Ambush Dr.	NULL	Bury	England	PE17	United Kingdom
25958	Home	1032 Buena Vista	NULL	North Ryde	New South Wales	2113	Australia
25689	Home	1032 Coats Road	NULL	Stoke-on-Trent	England	AS23	United Kingdom
15446	Home	1032 Cowell Road	NULL	Colombes	Hauts de Seine	92700	France
14399	Home	1035 Arguello Blvd.	NULL	San Diego	California	92102	United States
21505	Home	1035, boulevard du Montparnasse	NULL	Paris	Seine (Paris)	75002	France
22897	Home	1036 Mason Dr	NULL	Port Orchard	Washington	98366	United States
19334	Home	1037 Hayes Court	NULL	Stoke-on-Trent	England	AS23	United Kingdom
25928	Home	1039 Adelaide St.	NULL	Port Macquarie	New South Wales	2444	Australia
11210	Home	1039 Adelaide St.	NULL	West Covina	California	91791	United States
11473	Home	1039, rue Mazagran	NULL	Drancy	Seine Saint Denis	93700	France
14250	Home	104 Hilltop Dr.	NULL	Concord	California	94519	United States
13135	Home	104 Hilltop Dr.	NULL	Springwood	New South Wales	2777	Australia
14350	Home	104 Kaski Ln.	NULL	Portland	Oregon	97205	United States
22969	Home	1040 Greenbush Drive	NULL	Newton	British Columbia	V2L3W8	Canada
24000	Home	1040 Greenbush Drive	NULL	Silverwater	New South Wales	2264	Australia
28704	Home	1040 Northridge Road	NULL	London	England	W1X3SE	United Kingdom
16983	Home	1040 Northridge Road	NULL	Woodland Hills	California	91364	United States
19560	Home	1042 Hooftrail Way	NULL	Newcastle	New South Wales	2300	Australia
12956	Home	1044 San Carlos	NULL	Cincinnati	Ohio	45202	United States
27069	Home	1045 Lolita Drive	NULL	Torrance	California	90505	United States
18202	Home	1045 Lolita Drive	NULL	Townsville	Queensland	4810	Australia
11331	Home	1046 Cloverleaf Circle	NULL	Shawnee	British Columbia	V8Z 4N5	Canada
15501	Home	1046 San Carlos Avenue	NULL	Colma	California	94014	United States
21957	Home	1047 Las Quebradas Lane	NULL	North Sydney	New South Wales	2055	Australia
21622	Home	1047 Las Quebradas Lane	NULL	Oak Bay	British Columbia	V8P	Canada
28260	Home	1048 Burwood Way	NULL	Haney	British Columbia	V2W 1W2	Canada
12008	Home	1048 Burwood Way	NULL	Hervey Bay	Queensland	4655	Australia
27269	Home	1048 Las Quebradas Lane	NULL	Walla Walla	Washington	99362	United States
13630	Home	1048 Las Quebradas Lane	NULL	Wollongong	New South Wales	2500	Australia
14348	Home	105 Clark Creek Lane	NULL	Port Macquarie	New South Wales	2444	Australia
13945	Home	105 Woodruff Ln.	NULL	Bellingham	Washington	98225	United States
15557	Home	105 Woodruff Ln.	NULL	Oakland	California	94611	United States
14599	Home	1050 Creed Ave	NULL	Lebanon	Oregon	97355	United States
25604	Home	1050 Creed Ave	NULL	London	England	W10 6BL	United Kingdom
23410	Home	1050 Greenhills Circle	NULL	Lane Cove	New South Wales	1597	Australia
18604	Home	1050 Greenhills Circle	NULL	Langley	British Columbia	V3A 4R2	Canada
11683	Home	1052 Stanford Street	NULL	El Cajon	California	92020	United States
17293	Home	1053 Rain Drop Circle	NULL	Warrnambool	Victoria	3280	Australia
13190	Home	1054 Vine Circle	NULL	Burbank	California	91502	United States
20982	Home	1054 Vloching Circle	NULL	York	England	Y024 1GF	United Kingdom
18013	Home	1055 Horseshoe Road	NULL	London	England	SW1P 2NU	United Kingdom
15665	Home	1055, rue Basse-du-Rocher	NULL	Paris	Seine (Paris)	75009	France
24693	Home	10570, rue Lamarck	NULL	Saint Germain en Laye	Yveline	78100	France
12618	Home	10571, rue de Varenne	NULL	Lieusaint	Seine et Marne	77127	France
19093	Home	1058 Kirker Pass Road	NULL	Bendigo	Victoria	3550	Australia
25062	Home	1058 Kirker Pass Road	NULL	Westminster	British Columbia	V3L 1H4	Canada
21319	Home	1058 Miwok Way	NULL	Bellingham	Washington	98225	United States
11779	Home	1058 Park Blvd.	NULL	Woodburn	Oregon	97071	United States
13851	Home	1059 Delta Fair Blvd.	NULL	Port Hammond	British Columbia	V6B 3P7	Canada
27002	Home	1059 Kirkwood Ct	NULL	W. York	England	BD1 4SJ	United Kingdom
12899	Home	1059 Stonewood Ct	NULL	Glendale	California	91203	United States
28183	Home	1060 Mcelroy Court	NULL	Burbank	California	91502	United States
11766	Home	1060 Mcelroy Court	NULL	South Melbourne	Victoria	3205	Australia
21234	Home	1061 Buskrik Avenue	NULL	Coronado	California	92118	United States
20052	Home	1061 Carzino Ct	NULL	Bracknell	England	RG12 8TB	United Kingdom
14705	Home	1061 Carzino Ct	NULL	Kirkby	England	KB9	United Kingdom
17160	Home	1061 Delta Fair Blvd.	NULL	Bremerton	Washington	98312	United States
17162	Home	1061 Delta Fair Blvd.	NULL	Milwaukie	Oregon	97222	United States
28149	Home	1063 Pinehurst Court	NULL	Lakewood	California	90712	United States
21053	Home	1063 Pinehurst Court	NULL	Oxford	England	OX1	United Kingdom
20811	Home	1064 Almond Drive	NULL	Warrington	England	WA3 7BH	United Kingdom
13466	Home	1064 Armstrong Rd.	NULL	Langley	British Columbia	V3A 4R2	Canada
22006	Home	1064 Armstrong Rd.	NULL	South Melbourne	Victoria	3205	Australia
12762	Home	1064 Diver Way	NULL	Spring Valley	California	91977	United States
22546	Home	1064 Slavio	NULL	Lebanon	Oregon	97355	United States
11758	Home	1064 William Way	NULL	Darlinghurst	New South Wales	2010	Australia
11707	Home	1064 William Way	NULL	Woodland Hills	California	91364	United States
24069	Home	1065 Almond St.	NULL	Maidenhead	England	SL67RJ	United Kingdom
29157	Home	1065 Almond St.	NULL	Santa Cruz	California	95062	United States
27261	Home	1065 Coachman Pl.	NULL	Burien	Washington	98168	United States
15725	Home	1065 Coachman Pl.	NULL	Wollongong	New South Wales	2500	Australia
23007	Home	1068 N Sweetbriar Court	NULL	La Jolla	California	92806	United States
16925	Home	1069 Ahwanee Lane	NULL	Daly City	California	94015	United States
25715	Home	1069 Ahwanee Lane	NULL	North Ryde	New South Wales	2113	Australia
28793	Home	1069 Bynum Way	NULL	Puyallup	Washington	98371	United States
11905	Home	1069 Central Blvd.	NULL	Hobart	Tasmania	7001	Australia
17816	Home	1069, boulevard du Montparnasse	NULL	Paris	Seine (Paris)	75002	France
18761	Home	107 Woodside Court	NULL	Glendale	California	91203	United States
24713	Home	107, rue des Bouchers	NULL	Chatou	Yveline	78400	France
24287	Home	1071 Stanz Grace St.	NULL	Chula Vista	California	91910	United States
12356	Home	1073 Bonnie Lane	NULL	Port Macquarie	New South Wales	2444	Australia
18800	Home	1074 Lori Drive	NULL	Lake Oswego	Oregon	97034	United States
22589	Home	1075 San Miguel Circle	NULL	Oxford	England	OX1	United Kingdom
27116	Home	1077 Laurel Drive	NULL	Bellingham	Washington	98225	United States
23880	Home	1077 Laurel Drive	NULL	Long Beach	California	90802	United States
16769	Home	1077 Pheasant Drive	NULL	Downey	California	90241	United States
20298	Home	1077 Willow Court	NULL	Burbank	California	91502	United States
23589	Home	1077 Willow Court	NULL	Imperial Beach	California	91932	United States
18809	Home	1078 Aloe Vera Road	NULL	Beaverton	Oregon	97005	United States
13898	Home	108 Lakeside Court	NULL	Corvallis	Oregon	97330	United States
23567	Home	1080 Crestwood Circle	NULL	Metchosin	British Columbia	V9	Canada
24173	Home	1080 Crestwood Circle	NULL	Rockhampton	Queensland	4700	Australia
29482	Home	1080, quai de Grenelle	NULL	Saint Ouen	Charente-Maritime	17490	France
28212	Home	1082 Crivello Avenue	NULL	Cranbourne	Victoria	3977	Australia
25974	Home	1082 Crivello Avenue	NULL	Glendale	California	91203	United States
16591	Home	1082 Selena Court	NULL	Reading	England	RG7 5H7	United Kingdom
14184	Home	1082 Selena Court	NULL	Runcorn	England	TY31	United Kingdom
28167	Home	1083 W. Hook Road	NULL	Los Angeles	California	90012	United States
18529	Home	1083 W. Hookston Road	NULL	Chantilly	Virginia	20151	United States
19867	Home	1084 Meadow Glen Way	NULL	Chula Vista	California	91910	United States
26417	Home	1084 Meadow Glen Way	NULL	Oxford	England	OX14 4SE	United Kingdom
28734	Home	1085 Ash Lane	NULL	London	England	W1N 9FA	United Kingdom
28143	Home	1085 Ash Lane	NULL	Spokane	Washington	99202	United States
11181	Home	1085 Greenbelt Way	Unit B-105	Los Angeles	California	90012	United States
11807	Home	1086 Ash Lane	NULL	National City	California	91950	United States
12740	Home	1086 Clayton Road	NULL	Berks	England	SL4 1RH	United Kingdom
12889	Home	1086 Clayton Road	NULL	Portland	Oregon	97205	United States
15479	Home	1086 Rose Dr.	NULL	Olympia	Washington	98501	United States
19994	Home	1087 Knollview Court	NULL	Novato	California	94947	United States
15425	Home	1087 Park Tree Ct.	NULL	Goulburn	New South Wales	2580	Australia
16428	Home	1088 Ash Lane	NULL	Bury	England	PE17	United Kingdom
11989	Home	1088 Ash Lane	NULL	Hawthorne	Queensland	4171	Australia
27715	Home	109 Clay Road	NULL	Hervey Bay	Queensland	4655	Australia
15653	Home	109 Clayton Road	NULL	London	England	W1N 9FA	United Kingdom
28514	Home	109, avenue des Ternes	NULL	Les Ulis	Essonne	91940	France
20070	Home	1090 El Dorado Way	NULL	Vancouver	British Columbia	V7L 4J4	Canada
28402	Home	1090, quai de Grenelle	NULL	Paris	Seine (Paris)	75012	France
24414	Home	1091 Bloching Circle	NULL	Lemon Grove	California	91945	United States
20500	Home	1092 Boxer Blvd	NULL	Port Hammond	British Columbia	V6B 3P7	Canada
13061	Home	1092 Pinole Valley Rd.	NULL	Oakland	California	94611	United States
21309	Home	1093 Gatter Court	NULL	San Gabriel	California	91776	United States
21488	Home	1093 Via Romero	NULL	San Diego	California	92102	United States
12457	Home	1094 Loveridge Circle	NULL	Beaverton	Oregon	97005	United States
13761	Home	1094 Loveridge Circle	NULL	Oregon City	Oregon	97045	United States
17105	Home	1095 Collins Drive	NULL	Runcorn	England	TY31	United Kingdom
27973	Home	1095 Collins Drive	NULL	Seaford	Victoria	3198	Australia
22992	Home	1097 Kulani Lane	NULL	Kirkland	Washington	98033	United States
22305	Home	1097 Kulani Lane	NULL	London	England	SW19 3RU	United Kingdom
12601	Home	1098 Lawton Street	NULL	Peterborough	England	PB12	United Kingdom
26451	Home	1098 Lawton Street	NULL	Spokane	Washington	99202	United States
13936	Home	1099 C Street	NULL	Langley	British Columbia	V3A 4R2	Canada
20892	Home	1099 C Street	NULL	London	England	SW1P 2NU	United Kingdom
25207	Home	1099 Catalpa Court	NULL	Redmond	Washington	98052	United States
22690	Home	10bis, rue des Peupliers	NULL	Les Ulis	Essonne	91940	France
18766	Home	11 Sunrise Drive	NULL	Darlinghurst	New South Wales	2010	Australia
12197	Home	11 Sunrise Drive	NULL	Mill Valley	California	94941	United States
18150	Home	11, allée des Princes	NULL	Colombes	Hauts de Seine	92700	France
13508	Home	11, avenue de la Gare	NULL	Lieusaint	Seine et Marne	77127	France
20046	Home	11, avenue de la Gare	NULL	Saint Ouen	Charente-Maritime	17490	France
11399	Home	11, avenue du Port	NULL	Paris	Seine (Paris)	75016	France
24551	Home	11, avenue du Président-Kennedy	NULL	Bobigny	Seine Saint Denis	93000	France
12256	Home	11, avenue du Président-Kennedy	NULL	Morangis	Essonne	91420	France
27318	Home	11, avenue du Président-Kennedy	NULL	Paris	Seine (Paris)	75007	France
16312	Home	11, avenue du Président-Kennedy	NULL	Paris La Defense	Hauts de Seine	92081	France
15455	Home	11, avenue du Président-Kennedy	NULL	Roubaix	Nord	59100	France
22555	Home	11, avenue du Président-Kennedy	NULL	Saint-Denis	Seine Saint Denis	93400	France
25491	Home	11, avenue du Président-Kennedy	NULL	Verrieres Le Buisson	Essonne	91370	France
11390	Home	11, boulevard Tremblay	NULL	Saint Germain en Laye	Yveline	78100	France
16433	Home	11, place de la République	NULL	Paris	Seine (Paris)	75016	France
17822	Home	11, quai de l´ Iton	NULL	Bobigny	Seine Saint Denis	93000	France
19323	Home	11, quai de l´ Iton	NULL	Chatou	Yveline	78400	France
27122	Home	11, quai de l´ Iton	NULL	Courbevoie	Hauts de Seine	92400	France
13672	Home	11, quai de l´ Iton	NULL	Lille	Nord	59000	France
17641	Home	11, quai de l´ Iton	NULL	Pantin	Seine Saint Denis	93500	France
19367	Home	11, quai de l´ Iton	NULL	Paris	Seine (Paris)	75002	France
13781	Home	11, quai de l´ Iton	NULL	Paris	Seine (Paris)	75005	France
28894	Home	11, quai de l´ Iton	NULL	Roissy en Brie	Seine et Marne	77680	France
12534	Home	11, quai de l´ Iton	NULL	Saint Ouen	Charente-Maritime	17490	France
22831	Home	11, rue de Cambrai	NULL	Boulogne-Billancourt	Hauts de Seine	92100	France
28395	Home	11, rue de Cambrai	NULL	Orly	Val de Marne	94310	France
19490	Home	11, rue de Cambrai	NULL	Paris	Seine (Paris)	75019	France
11555	Home	11, rue de la Cavalerie	NULL	Esher-Molesey	England	EM15	United Kingdom
19487	Home	11, rue de l'Espace De Schengen	NULL	Boulogne-Billancourt	Hauts de Seine	92100	France
24043	Home	11, rue de l'Espace De Schengen	NULL	Paris	Seine (Paris)	75007	France
28471	Home	11, rue de l'Espace De Schengen	NULL	Roncq	Nord	59223	France
27126	Home	11, rue de l'Espace De Schengen	NULL	Saint Ouen	Somme	80610	France
11594	Home	11, rue de l'Espace De Schengen	NULL	Verrieres Le Buisson	Essonne	91370	France
17805	Home	11, rue de Maubeuge	NULL	Metz	Moselle	57000	France
19352	Home	11, rue de Maubeuge	NULL	Saint Germain en Laye	Yveline	78100	France
17938	Home	11, rue de Terre Neuve	NULL	Lieusaint	Seine et Marne	77127	France
25513	Home	11, rue de Terre Neuve	NULL	Villeneuve-d'Ascq	Nord	59491	France
25723	Home	11, rue Descartes	NULL	Saint-Denis	Seine Saint Denis	93400	France
15925	Home	11, rue Descartes	NULL	Versailles	Yveline	78000	France
17957	Home	11, rue du Départ	NULL	Sèvres	Hauts de Seine	92310	France
28442	Home	11, rue du Puits Dixme	NULL	Colombes	Hauts de Seine	92700	France
14942	Home	11, rue du Puits Dixme	NULL	Courbevoie	Hauts de Seine	92400	France
12466	Home	11, rue du Puits Dixme	NULL	Drancy	Seine Saint Denis	93700	France
20057	Home	11, rue du Puits Dixme	NULL	Orleans	Loiret	45000	France
28380	Home	11, rue du Puits Dixme	NULL	Orly	Val de Marne	94310	France
19252	Home	11, rue du Puits Dixme	NULL	Paris	Seine (Paris)	75007	France
22795	Home	11, rue du Puits Dixme	NULL	Paris	Seine (Paris)	75013	France
22449	Home	11, rue Henri Gagnon	NULL	Roissy en Brie	Seine et Marne	77680	France
18623	Home	11, rue Philibert-Delorme	NULL	Metz	Moselle	57000	France
12509	Home	11, rue Saint Denis	NULL	Drancy	Seine Saint Denis	93700	France
12221	Home	11, rue Saint Denis	NULL	Saint Germain en Laye	Yveline	78100	France
19494	Home	11, rue Villedo	NULL	Paris	Seine (Paris)	75009	France
28132	Home	110 E. Watson Court	NULL	Hervey Bay	Queensland	4655	Australia
12782	Home	110 E. Watson Court	NULL	Sooke	British Columbia	V0	Canada
27699	Home	110 Katherine Drive	NULL	Brisbane	Queensland	4000	Australia
14525	Home	110, boulevard Beau Marchais	NULL	Gateshead	England	GA10	United Kingdom
11141	Home	1101 C Street	NULL	Daly City	California	94015	United States
16153	Home	1101, rue Lauriston	NULL	Lynnwood	Washington	98036	United States
26369	Home	1101, rue Lauriston	NULL	Sèvres	Hauts de Seine	92310	France
